KEY,en
FURNITURE_NAME_SET_WOODEN_SUSPENDEDSHELF,Подвесная деревянная полка
FURNITURE_DESC_SET_WOODEN_SUSPENDEDSHELF,
FURNITURE_NAME_SET_WOODEN_SHELF2,Деревянная полка Б
FURNITURE_DESC_SET_WOODEN_SHELF2,
FURNITURE_NAME_SET_SEWER_SINK,Канализационная раковина
FURNITURE_DESC_SET_SEWER_SINK,
FURNITURE_NAME_SET_SEWER_SHELF,Канализационная полка
FURNITURE_DESC_SET_SEWER_SHELF,
FURNITURE_NAME_SET_SEWER_TABLE,Канализационный стол
FURNITURE_DESC_SET_SEWER_TABLE,
FURNITURE_NAME_SET_SEWER_DRESSER,Канализационный комод
FURNITURE_DESC_SET_SEWER_DRESSER,
FURNITURE_NAME_SET_SEWER_CHAIR,Канализационный стул
FURNITURE_DESC_SET_SEWER_CHAIR,
FURNITURE_NAME_SET_SEWER_SUSPENDEDSHELF,Подвесная канализационная полка
FURNITURE_DESC_SET_SEWER_SUSPENDEDSHELF,
FURNITURE_NAME_SET_SEWER_TV,Канализационный ТВ
FURNITURE_DESC_SET_SEWER_TV,
FURNITURE_NAME_SET_SEWER_SMALL_TABLE,Канализационный столик
FURNITURE_DESC_SET_SEWER_SMALL_TABLE,
FURNITURE_NAME_SET_SEWER_STOOL,Канализационный табурет
FURNITURE_DESC_SET_SEWER_STOOL,
FURNITURE_NAME_SET_SEWER_LAMP,Канализационная лампа
FURNITURE_DESC_SET_SEWER_LAMP,
FURNITURE_NAME_SET_BONE_SHELF,Костяная полка
FURNITURE_DESC_SET_BONE_SHELF,
FURNITURE_NAME_SET_BONE_SINK,Костяная раковина
FURNITURE_DESC_SET_BONE_SINK,
FURNITURE_NAME_SET_BONE_SIDETABLE,Костяная тумбочка
FURNITURE_DESC_SET_BONE_SIDETABLE,
FURNITURE_NAME_SET_BONE_TABLE,Костяной стол
FURNITURE_DESC_SET_BONE_TABLE,
FURNITURE_NAME_SET_BONE_COUCH,Костяной диван
FURNITURE_DESC_SET_BONE_COUCH,
FURNITURE_NAME_SET_BONE_TV,Костяной телевизор
FURNITURE_DESC_SET_BONE_TV,
FURNITURE_NAME_SET_BONE_CHANDELIER,Костяная люстра
FURNITURE_DESC_SET_BONE_CHANDELIER,
FURNITURE_NAME_SET_BONE_LAMP,Костяная лампа
FURNITURE_DESC_SET_BONE_LAMP,
FURNITURE_NAME_SET_BONE_CHAIR,Костяной стул
FURNITURE_DESC_SET_BONE_CHAIR,
FURNITURE_NAME_SET_BONE_PILE,Груда костей
FURNITURE_DESC_SET_BONE_PILE,
FURNITURE_NAME_SET_ROBO_SHELF,Робо-полка
FURNITURE_DESC_SET_ROBO_SHELF,
FURNITURE_NAME_SET_ROBO_SINK,Робо-раковина
FURNITURE_DESC_SET_ROBO_SINK,
FURNITURE_NAME_SET_ROBO_DESK,Робо-стол
FURNITURE_DESC_SET_ROBO_DESK,
FURNITURE_NAME_SET_ROBO_TABLE,Робо-столик
FURNITURE_DESC_SET_ROBO_TABLE,
FURNITURE_NAME_SET_ROBO_DRESSER,Робо-комод
FURNITURE_DESC_SET_ROBO_DRESSER,
FURNITURE_NAME_SET_ROBO_TV,Робо-ТВ
FURNITURE_DESC_SET_ROBO_TV,
FURNITURE_NAME_SET_ROBO_ROBOBODY,Робо-тело
FURNITURE_DESC_SET_ROBO_ROBOBODY,
FURNITURE_NAME_SET_ROBO_ROBOCHEST,Робо-грудь
FURNITURE_DESC_SET_ROBO_ROBOCHEST,
FURNITURE_NAME_SET_ROBO_ROBOARMS,Робо-руки
FURNITURE_DESC_SET_ROBO_ROBOARMS,
FURNITURE_NAME_SET_ROBO_HEAD,Робо-голова
FURNITURE_DESC_SET_ROBO_HEAD,
FURNITURE_NAME_SET_GUTS_SHELF,Кишечная полка
FURNITURE_DESC_SET_GUTS_SHELF,
FURNITURE_NAME_SET_GUTS_TABLE,Кишечный стол
FURNITURE_DESC_SET_GUTS_TABLE,
FURNITURE_NAME_SET_GUTS_SIDETABLE,Кишечная тумбочка А
FURNITURE_DESC_SET_GUTS_SIDETABLE,
FURNITURE_NAME_SET_GUTS_SINK,Кишечная раковина
FURNITURE_DESC_SET_GUTS_SINK,
FURNITURE_NAME_SET_GUTS_SIDETABLE2,Кишечная тумбочка Б
FURNITURE_DESC_SET_GUTS_SIDETABLE2,
FURNITURE_NAME_SET_GUTS_TOILET,Кишечный унитаз
FURNITURE_DESC_SET_GUTS_TOILET,
FURNITURE_NAME_SET_GUTS_LAMP,Кишечная лампа А
FURNITURE_DESC_SET_GUTS_LAMP,
FURNITURE_NAME_SET_GUTS_LAMP2,Кишечная лампа Б
FURNITURE_DESC_SET_GUTS_LAMP2,
FURNITURE_NAME_SET_GUTS_SUSPENDEDSHELF,Подвесная кишечная полка
FURNITURE_DESC_SET_GUTS_SUSPENDEDSHELF,
FURNITURE_NAME_SET_GUTS_TV,Кишечный ТВ
FURNITURE_DESC_SET_GUTS_TV,
FURNITURE_NAME_SET_CRYSTAL_TOILET,Хрустальный унитаз
FURNITURE_DESC_SET_CRYSTAL_TOILET,
FURNITURE_NAME_SET_CRYSTAL_DRESSER,Хрустальный комод А
FURNITURE_DESC_SET_CRYSTAL_DRESSER,
FURNITURE_NAME_SET_CRYSTAL_LAMP,Хрустальная лампа
FURNITURE_DESC_SET_CRYSTAL_LAMP,
FURNITURE_NAME_SET_CRYSTAL_TABLE,Хрустальный стол
FURNITURE_DESC_SET_CRYSTAL_TABLE,
FURNITURE_NAME_SET_CRYSTAL_CHANDELIER,Хрустальная люстра
FURNITURE_DESC_SET_CRYSTAL_CHANDELIER,
FURNITURE_NAME_SET_CRYSTAL_DRESSER2,Хрустальный комод Б
FURNITURE_DESC_SET_CRYSTAL_DRESSER2,
FURNITURE_NAME_SET_CRYSTAL_SIDETABLE,Хрустальная тумбочка
FURNITURE_DESC_SET_CRYSTAL_SIDETABLE,
FURNITURE_NAME_SET_CRYSTAL_COUCH,Хрустальный диван
FURNITURE_DESC_SET_CRYSTAL_COUCH,
FURNITURE_NAME_SET_CRYSTAL_CHAIR,Хрустальный стул
FURNITURE_DESC_SET_CRYSTAL_CHAIR,
FURNITURE_NAME_SET_CRYSTAL_SHELF,Хрустальная полка
FURNITURE_DESC_SET_CRYSTAL_SHELF,
FURNITURE_NAME_SET_BLOCK_L,"Блок ""Г"""
FURNITURE_DESC_SET_BLOCK_L,
FURNITURE_NAME_SET_BLOCK_T,"Блок ""Т"""
FURNITURE_DESC_SET_BLOCK_T,
FURNITURE_NAME_SET_BLOCK_SQUARE,"Блок ""О"""
FURNITURE_DESC_SET_BLOCK_SQUARE,
FURNITURE_NAME_SET_BLOCK_7,"Перевёрнутый блок ""Г"""
FURNITURE_DESC_SET_BLOCK_7,
FURNITURE_NAME_SET_BLOCK_SQUARE2,"Блок ""О"""
FURNITURE_DESC_SET_BLOCK_SQUARE2,
FURNITURE_NAME_SET_BLOCK_LAYINGL,"Лежащий блок ""Г"""
FURNITURE_DESC_SET_BLOCK_LAYINGL,
FURNITURE_NAME_SET_BLOCK_I,"Блок ""I"""
FURNITURE_DESC_SET_BLOCK_I,
FURNITURE_NAME_SET_BLOCK_SIDET,"Боковой блок ""Т"""
FURNITURE_DESC_SET_BLOCK_SIDET,
FURNITURE_NAME_SET_BLOCK_DOWNL,"Лежащий блок ""Г"""
FURNITURE_DESC_SET_BLOCK_DOWNL,
FURNITURE_NAME_SET_BLOCK_SIDEI,"Лежащий блок ""I"""
FURNITURE_DESC_SET_BLOCK_SIDEI,
FURNITURE_NAME_SET_MONSTER_SHELF,Монстро-полка
FURNITURE_DESC_SET_MONSTER_SHELF,
FURNITURE_NAME_SET_MONSTER_DRESSER,Монстро-комод
FURNITURE_DESC_SET_MONSTER_DRESSER,
FURNITURE_NAME_SET_MONSTER_TABLE,Монстро-стол А
FURNITURE_DESC_SET_MONSTER_TABLE,
FURNITURE_NAME_SET_MONSTER_SUSPENDEDSHELF,Подвесная монстро-полка А
FURNITURE_DESC_SET_MONSTER_SUSPENDEDSHELF,
FURNITURE_NAME_SET_MONSTER_SIDETABLE,Монстро-тумбочка
FURNITURE_DESC_SET_MONSTER_SIDETABLE,
FURNITURE_NAME_SET_MONSTER_SUSPENDEDSHELF2,Подвесная монстро-полка Б
FURNITURE_DESC_SET_MONSTER_SUSPENDEDSHELF2,
FURNITURE_NAME_SET_MONSTER_CHAIR,Монстро-стул
FURNITURE_DESC_SET_MONSTER_CHAIR,
FURNITURE_NAME_SET_MONSTER_TABLE2,Монстро-стол Б
FURNITURE_DESC_SET_MONSTER_TABLE2,
FURNITURE_NAME_SET_MONSTER_TV,Монстро-ТВ
FURNITURE_DESC_SET_MONSTER_TV,
FURNITURE_NAME_SET_MONSTER_LAMP,Монстро-лампа
FURNITURE_DESC_SET_MONSTER_LAMP,
FURNITURE_NAME_SET_ANGELIC_BED,Ангельская кровать
FURNITURE_DESC_SET_ANGELIC_BED,
FURNITURE_NAME_SET_ANGELIC_SHELF,Ангельская полка
FURNITURE_DESC_SET_ANGELIC_SHELF,
FURNITURE_NAME_SET_ANGELIC_CHAIR,Ангельский стул
FURNITURE_DESC_SET_ANGELIC_CHAIR,
FURNITURE_NAME_SET_ANGELIC_DRESSER,Ангельский комод
FURNITURE_DESC_SET_ANGELIC_DRESSER,
FURNITURE_NAME_SET_ANGELIC_SIDETABLE,Ангельская тумбочка
FURNITURE_DESC_SET_ANGELIC_SIDETABLE,
FURNITURE_NAME_SET_ANGELIC_TOILET,Ангельский унитаз
FURNITURE_DESC_SET_ANGELIC_TOILET,
FURNITURE_NAME_SET_ANGELIC_TABLE,Ангельский стол А
FURNITURE_DESC_SET_ANGELIC_TABLE,
FURNITURE_NAME_SET_ANGELIC_TABLE2,Ангельский стол Б
FURNITURE_DESC_SET_ANGELIC_TABLE2,
FURNITURE_NAME_SET_ANGELIC_SUSPENDEDSHELF,Подвесная ангельская полка
FURNITURE_DESC_SET_ANGELIC_SUSPENDEDSHELF,
FURNITURE_NAME_SET_ANGELIC_LAMP,Ангельская лампа
FURNITURE_DESC_SET_ANGELIC_LAMP,
FURNITURE_NAME_SET_ATOMIC_STOVE,Атомная плита
FURNITURE_DESC_SET_ATOMIC_STOVE,
FURNITURE_NAME_SET_ATOMIC_FRIGE,Атомный холодильник
FURNITURE_DESC_SET_ATOMIC_FRIGE,
FURNITURE_NAME_SET_ATOMIC_COUCH,Атомный диван
FURNITURE_DESC_SET_ATOMIC_COUCH,
FURNITURE_NAME_SET_ATOMIC_TV,Атомный ТВ
FURNITURE_DESC_SET_ATOMIC_TV,
FURNITURE_NAME_SET_ATOMIC_TABLE,Атомный стол
FURNITURE_DESC_SET_ATOMIC_TABLE,
FURNITURE_NAME_SET_ATOMIC_SIDETABLE,Атомная тумбочка
FURNITURE_DESC_SET_ATOMIC_SIDETABLE,
FURNITURE_NAME_SET_ATOMIC_RADIO,Атомное радио
FURNITURE_DESC_SET_ATOMIC_RADIO,
FURNITURE_NAME_SET_ATOMIC_LAMP,Атомная лампа
FURNITURE_DESC_SET_ATOMIC_LAMP,
FURNITURE_NAME_SET_ATOMIC_SHELF,Атомная полка
FURNITURE_DESC_SET_ATOMIC_SHELF,
FURNITURE_NAME_SET_ATOMIC_CHAIR,Атомный стул
FURNITURE_DESC_SET_ATOMIC_CHAIR,
FURNITURE_NAME_SET_ELEGANT_TABLE,Элегантный стол
FURNITURE_DESC_SET_ELEGANT_TABLE,
FURNITURE_NAME_SET_ELEGANT_BED,Элегантная кровать
FURNITURE_DESC_SET_ELEGANT_BED,
FURNITURE_NAME_SET_ELEGANT_DESK,Элегантный письменный стол
FURNITURE_DESC_SET_ELEGANT_DESK,
FURNITURE_NAME_SET_ELEGANT_DRESSER,Элегантный комод А
FURNITURE_DESC_SET_ELEGANT_DRESSER,
FURNITURE_NAME_SET_ELEGANT_DRESSER2,Элегантный комод Б
FURNITURE_DESC_SET_ELEGANT_DRESSER2,
FURNITURE_NAME_SET_ELEGANT_SIDETABLE,Элегантная тумбочка А
FURNITURE_DESC_SET_ELEGANT_SIDETABLE,
FURNITURE_NAME_SET_ELEGANT_SIDETABLE2,Элегантная тумбочка Б
FURNITURE_DESC_SET_ELEGANT_SIDETABLE2,
FURNITURE_NAME_SET_ELEGANT_CHAIR,Элегантный стул
FURNITURE_DESC_SET_ELEGANT_CHAIR,
FURNITURE_NAME_SET_ELEGANT_SHELF,Элегантная полка
FURNITURE_DESC_SET_ELEGANT_SHELF,
FURNITURE_NAME_SET_ELEGANT_LAMP,Элегантная лампа
FURNITURE_DESC_SET_ELEGANT_LAMP,
FURNITURE_NAME_SET_MODERN_BED,Современная кровать
FURNITURE_DESC_SET_MODERN_BED,
FURNITURE_NAME_SET_MODERN_FRIGE,Современный холодильник
FURNITURE_DESC_SET_MODERN_FRIGE,
FURNITURE_NAME_SET_MODERN_STOVE,Современная плита
FURNITURE_DESC_SET_MODERN_STOVE,
FURNITURE_NAME_SET_MODERN_COUCH,Современный диван
FURNITURE_DESC_SET_MODERN_COUCH,
FURNITURE_NAME_SET_MODERN_CHAIR,Современный стул
FURNITURE_DESC_SET_MODERN_CHAIR,
FURNITURE_NAME_SET_MODERN_DRESSER,Современный комод
FURNITURE_DESC_SET_MODERN_DRESSER,
FURNITURE_NAME_SET_MODERN_SIDETABLE,Современная тумбочка
FURNITURE_DESC_SET_MODERN_SIDETABLE,
FURNITURE_NAME_SET_MODERN_TABLE,Современный стол
FURNITURE_DESC_SET_MODERN_TABLE,
FURNITURE_NAME_SET_MODERN_DESK,Современный письменный стол
FURNITURE_DESC_SET_MODERN_DESK,
FURNITURE_NAME_SET_MODERN_TV,Современный ТВ
FURNITURE_DESC_SET_MODERN_TV,
FURNITURE_NAME_SET_80S_COUCH,Диван 80-х
FURNITURE_DESC_SET_80S_COUCH,
FURNITURE_NAME_SET_80S_BED,Кровать 80-х
FURNITURE_DESC_SET_80S_BED,
FURNITURE_NAME_SET_80S_DRESSER,Комод 80-х
FURNITURE_DESC_SET_80S_DRESSER,
FURNITURE_NAME_SET_80S_CHAIR,Стул 80-х
FURNITURE_DESC_SET_80S_CHAIR,
FURNITURE_NAME_SET_80S_STOVE,Плита 80-х
FURNITURE_DESC_SET_80S_STOVE,
FURNITURE_NAME_SET_80S_FRIGE,Холодильник 80-х
FURNITURE_DESC_SET_80S_FRIGE,
FURNITURE_NAME_SET_80S_SHELF,Полка 80-х
FURNITURE_DESC_SET_80S_SHELF,
FURNITURE_NAME_SET_80S_TV,ТВ 80-х
FURNITURE_DESC_SET_80S_TV,
FURNITURE_NAME_SET_80S_TABLE,Стол 80-х
FURNITURE_DESC_SET_80S_TABLE,
FURNITURE_NAME_SET_80S_SIDETABLE,Тумбочка 80-х
FURNITURE_DESC_SET_80S_SIDETABLE,
FURNITURE_NAME_SET_RETRO_BED,Кровать ар-деко
FURNITURE_DESC_SET_RETRO_BED,
FURNITURE_NAME_SET_RETRO_STOVE,Плита ар-деко
FURNITURE_DESC_SET_RETRO_STOVE,
FURNITURE_NAME_SET_RETRO_FRIGE,Холодильник ар-деко
FURNITURE_DESC_SET_RETRO_FRIGE,
FURNITURE_NAME_SET_RETRO_COUCH,Диван ар-деко
FURNITURE_DESC_SET_RETRO_COUCH,
FURNITURE_NAME_SET_RETRO_CHAIR,Стул ар-деко
FURNITURE_DESC_SET_RETRO_CHAIR,
FURNITURE_NAME_SET_RETRO_DRESSER,Комод ар-деко
FURNITURE_DESC_SET_RETRO_DRESSER,
FURNITURE_NAME_SET_RETRO_DRESSER2,Трюмо ар-деко
FURNITURE_DESC_SET_RETRO_DRESSER2,
FURNITURE_NAME_SET_RETRO_DRESSER3,Шкаф ар-деко
FURNITURE_DESC_SET_RETRO_DRESSER3,
FURNITURE_NAME_SET_RETRO_SIDETABLE,Тумбочка ар-деко
FURNITURE_DESC_SET_RETRO_SIDETABLE,
FURNITURE_NAME_SET_RETRO_LAMP,Лампа ар-деко
FURNITURE_DESC_SET_RETRO_LAMP,
FURNITURE_NAME_SET_90S_BED,Кровать 90-х
FURNITURE_DESC_SET_90S_BED,
FURNITURE_NAME_SET_90S_CABINET,Подвесной шкафчик 90-х
FURNITURE_DESC_SET_90S_CABINET,
FURNITURE_NAME_SET_90S_CABINET2,Шкафчик 90-х
FURNITURE_DESC_SET_90S_CABINET2,
FURNITURE_NAME_SET_90S_SINK,Раковина 90-х
FURNITURE_DESC_SET_90S_SINK,
FURNITURE_NAME_SET_90S_STOVE,Плита 90-х
FURNITURE_DESC_SET_90S_STOVE,
FURNITURE_NAME_SET_90S_FRIGE,Холодильник 90-х
FURNITURE_DESC_SET_90S_FRIGE,
FURNITURE_NAME_SET_90S_SHELF,Полка 90-х
FURNITURE_DESC_SET_90S_SHELF,
FURNITURE_NAME_SET_90S_SUSPENDEDSHELF,Подвесная полка 90-х
FURNITURE_DESC_SET_90S_SUSPENDEDSHELF,
FURNITURE_NAME_SET_90S_CHAIR,Стул 90-х
FURNITURE_DESC_SET_90S_CHAIR,
FURNITURE_NAME_SET_90S_STOOL,Табурет 90-х
FURNITURE_DESC_SET_90S_STOOL,
FURNITURE_NAME_SET_MUSHROOM_TABLE1,Грибной стол А
FURNITURE_DESC_SET_MUSHROOM_TABLE1,
FURNITURE_NAME_SET_MUSHROOM_STOOL,Грибной табурет А
FURNITURE_DESC_SET_MUSHROOM_STOOL,
FURNITURE_NAME_SET_MUSHROOM_STOOL2,Грибной табурет Б
FURNITURE_DESC_SET_MUSHROOM_STOOL2,
FURNITURE_NAME_SET_MUSHROOM_CHAIR,Грибной стул
FURNITURE_DESC_SET_MUSHROOM_CHAIR,
FURNITURE_NAME_SET_MUSHROOM_TABLE,Грибной стол Б
FURNITURE_DESC_SET_MUSHROOM_TABLE,
FURNITURE_NAME_SET_MUSHROOM_TOILET,Грибной унитаз
FURNITURE_DESC_SET_MUSHROOM_TOILET,
FURNITURE_NAME_SET_MUSHROOM_SHELF,Грибная полка
FURNITURE_DESC_SET_MUSHROOM_SHELF,
FURNITURE_NAME_SET_MUSHROOM_SUSPENDEDSHELF,Подвесная грибная полка А
FURNITURE_DESC_SET_MUSHROOM_SUSPENDEDSHELF,
FURNITURE_NAME_SET_MUSHROOM_SUSPENDEDSHELF2,Подвесная грибная полка Б
FURNITURE_DESC_SET_MUSHROOM_SUSPENDEDSHELF2,
FURNITURE_NAME_SET_MUSHROOM_STOOL3,Грибной табурет В
FURNITURE_DESC_SET_MUSHROOM_STOOL3,
FURNITURE_NAME_SET_RUSTIC_DRESSER,Деревенский комод
FURNITURE_DESC_SET_RUSTIC_DRESSER,
FURNITURE_NAME_SET_RUSTIC_SHELF,Подвесная деревенская полка А
FURNITURE_DESC_SET_RUSTIC_SHELF,
FURNITURE_NAME_SET_RUSTIC_SUSPENDEDSHELF,Подвесная деревенская полка Б
FURNITURE_DESC_SET_RUSTIC_SUSPENDEDSHELF,
FURNITURE_NAME_SET_RUSTIC_SIDETABLE,Деревенская тумбочка
FURNITURE_DESC_SET_RUSTIC_SIDETABLE,
FURNITURE_NAME_SET_RUSTIC_SUSPENDEDSHELF2,Подвесная деревенская полка для специй
FURNITURE_DESC_SET_RUSTIC_SUSPENDEDSHELF2,
FURNITURE_NAME_SET_RUSTIC_CHAIR,Деревенский стул
FURNITURE_DESC_SET_RUSTIC_CHAIR,
FURNITURE_NAME_SET_RUSTIC_DESK,Деревенский письменный стол
FURNITURE_DESC_SET_RUSTIC_DESK,
FURNITURE_NAME_SET_RUSTIC_BENCH,Деревенская скамейка
FURNITURE_DESC_SET_RUSTIC_BENCH,
FURNITURE_NAME_SET_RUSTIC_TABLE,Деревенский стол
FURNITURE_DESC_SET_RUSTIC_TABLE,
FURNITURE_NAME_SET_RUSTIC_STOOL,Деревенский табурет
FURNITURE_DESC_SET_RUSTIC_STOOL,
FURNITURE_NAME_SET_CUTE_DRESSER,Милый комод
FURNITURE_DESC_SET_CUTE_DRESSER,
FURNITURE_NAME_SET_CUTE_SIDETABLE,Милая тумбочка А
FURNITURE_DESC_SET_CUTE_SIDETABLE,
FURNITURE_NAME_SET_CUTE_SHELF,Милая полка
FURNITURE_DESC_SET_CUTE_SHELF,
FURNITURE_NAME_SET_CUTE_DRESSER2,Милый шкаф
FURNITURE_DESC_SET_CUTE_DRESSER2,
FURNITURE_NAME_SET_CUTE_COUCH,Милый диван
FURNITURE_DESC_SET_CUTE_COUCH,
FURNITURE_NAME_SET_CUTE_BED,Милая кровать
FURNITURE_DESC_SET_CUTE_BED,
FURNITURE_NAME_SET_CUTE_CHAIR,Милый стул
