KEY,en
PASSIVE_FASTFOOTED2_DESC,"Иммунитет к негативным эффектам клеток.
Вы можете проходить сквозь юнитов и объекты."
PASSIVE_SLUGGER_NAME,Силач
PASSIVE_SLUGGER_DESC,+1 к урону.
PASSIVE_SLUGGER2_DESC,+3 к урону.
PASSIVE_PULP_NAME,Мясорубка
PASSIVE_PULP_DESC,При убийстве юнита или уничтожении трупа он превращается в мясо.
PASSIVE_PULP2_DESC,"+4 к урону.
При убийстве юнита или уничтожении трупа он превращается в мясо."
PASSIVE_AMPLIFY_NAME,Усиление
PASSIVE_AMPLIFY_DESC,+1 к магическому урону.
PASSIVE_AMPLIFY2_DESC,+1 к магическому урону за каждые 3 [img:cha].
PASSIVE_DEATHBOON_NAME,Посмертный дар
PASSIVE_DEATHBOON_DESC,"Когда вы повержены, все союзники получают повышение всех характеристик."
PASSIVE_DEATHBOON2_DESC,"Когда вы повержены, все союзники получают повышение всех характеристик на 2."
PASSIVE_SANTASANGRE_NAME,Святая кровь
PASSIVE_SANTASANGRE_DESC,"Когда вы повержены, союзники исцеляются на 12 ОЗ. Избыток исцеления преобразуется в Щит."
PASSIVE_SANTASANGRE2_DESC,"Когда вы повержены, союзники исцеляются на 20 ОЗ. Избыток исцеления преобразуется в Щит."
PASSIVE_UNSCARRED_NAME,Невредимый
PASSIVE_UNSCARRED_DESC,При полном здоровье шанс критического удара 100%.
PASSIVE_UNSCARRED2_DESC,"При полном здоровье: 100% шанс крит. удара, +5 к регенерации маны и +1 ко всем характеристикам."
PASSIVE_DAUNT_NAME,Устрашение
PASSIVE_DAUNT_DESC,Мелкие враги не атакуют вас.
PASSIVE_DAUNT2_DESC,"Мелкие враги не атакуют вас.
Накладывает Страх 1 на юнитов при контакте или атаке."
PASSIVE_ANIMALHANDLER_NAME,Дрессировщик
PASSIVE_ANIMALHANDLER_DESC,В начале каждого боя вы получаете случайного фамильяра-вредителя с повышенным уроном и здоровьем.
PASSIVE_ANIMALHANDLER2_DESC,В начале каждого боя вы получаете 3 случайных фамильяров-вредителей с повышенным уроном и здоровьем.
PASSIVE_WHIPCRACKER_NAME,Кнутобой
PASSIVE_WHIPCRACKER_DESC,При нанесении урона союзнику он получает +1 к урону.
PASSIVE_WHIPCRACKER2_DESC,При нанесении урона союзнику он получает +1 к урону и +1 [img:spd].
PASSIVE_PRESSUREPOINTS_NAME,Сила слабых
PASSIVE_PRESSUREPOINTS_DESC,Урон 2 или меньше всегда наносится как критический.
PASSIVE_PRESSUREPOINTS2_DESC,Урон 3 или меньше всегда наносится как критический. +50% к крит. урону.
PASSIVE_GASSY_NAME,Газы
PASSIVE_GASSY_DESC,При получении урона отбрасывает всех соседних юнитов.
PASSIVE_GASSY2_DESC,При получении урона отравляет всех соседних юнитов и отбрасывает их на 10 клеток.
PASSIVE_DEALER_NAME,Торговец
PASSIVE_DEALER_DESC,Вы можете использовать расходники на других юнитах.
PASSIVE_DEALER2_DESC,"Вы можете использовать расходники на других юнитах.
Расходники имеют двойной эффект."
PASSIVE_PATIENCE_NAME,Терпение
PASSIVE_PATIENCE_DESC,"Если вы завершите ход без действий, то получите дополнительный ход в конце раунда. Мана не регенерирует в пропущенный основной ход."
PASSIVE_PATIENCE2_DESC,"Если вы завершите ход без действий, то получите дополнительный ход в конце раунда."
PASSIVE_WIGGLY_NAME,Вёрткий
PASSIVE_WIGGLY_DESC,+25% к шансу уклонения.
PASSIVE_WIGGLY2_DESC,+25% к шансу уклонения и +25% к шансу крит. удара.
PASSIVE_MINIME_NAME,Мини-Я
PASSIVE_MINIME_DESC,Получите уменьшенную копию себя с 50% ваших характеристик. Копия управляется ИИ.
PASSIVE_MINIME2_DESC,Получите уменьшенную копию себя с 50% характеристик и совсем маленькую копию с 25% характеристик. Копии управляются ИИ.
PASSIVE_BAREMINIMUM_NAME,Минимальный порог
PASSIVE_BAREMINIMUM_DESC,Ваши характеристики не могут опуститься ниже 5.
PASSIVE_BAREMINIMUM2_DESC,Ваши характеристики не могут опуститься ниже 7.
PASSIVE_UNRESTRICTED_NAME,Без ограничений
PASSIVE_UNRESTRICTED_DESC,Действия с ограничением «раз за бой» можно использовать раз за ход.
PASSIVE_UNRESTRICTED2_DESC,"Действия с ограничением «раз за бой» можно использовать раз за ход.
Действия с ограничением «раз за ход» имеют 50% шанс быть доступными снова."
PASSIVE_DEATHSDOOR_NAME,Порог смерти
PASSIVE_DEATHSDOOR_DESC,"При 1 ОЗ ваши заклинания стоят 1 ману, но могут быть применены только раз за ход."
PASSIVE_DEATHSDOOR2_DESC,"При 5 или менее ОЗ ваши заклинания стоят 1 ману, но могут быть применены только раз за ход."
PASSIVE_OVERCONFIDENT_NAME,Самонадеянность
PASSIVE_OVERCONFIDENT_DESC,"При полном здоровье стоимость заклинаний снижена на 2, но вы получаете двойной урон. Стоимость маны не может быть ниже 1."
PASSIVE_OVERCONFIDENT2_DESC,"При полном здоровье стоимость заклинаний снижена на 2, но вы получаете двойной урон. Стоимость маны не может быть ниже 1. При произнесении заклинания исцеление на 1 ОЗ."
PASSIVE_SERIALKILLER_NAME,Серийный убийца
PASSIVE_SERIALKILLER_DESC,"После убийства 3 юнитов: +6 [img:spd], удары в спину имеют 100% шанс крита."
PASSIVE_SERIALKILLER2_DESC,"После убийства 3 юнитов: +6 [img:spd], удары в спину имеют 100% шанс крита и дополнительная базовая атака каждый ход."
PASSIVE_STRENGTHINNUMBERS_NAME,Сила в числах
PASSIVE_STRENGTHINNUMBERS_DESC,Ваши фамильяры получают +1 к урону за каждого другого вашего фамильяра.
PASSIVE_STRENGTHINNUMBERS2_DESC,Вы и ваши фамильяры получаете +1 к урону за каждого другого вашего фамильяра.
PASSIVE_FIGHTERSOUL_NAME,Душа бойца
PASSIVE_FIGHTERSOUL_DESC,При повышении уровня предлагаются способности бойца.
PASSIVE_FIGHTERSOUL2_DESC,При повышении уровня предлагаются способности бойца.
PASSIVE_HUNTERSOUL_NAME,Душа охотника
PASSIVE_HUNTERSOUL_DESC,При повышении уровня предлагаются способности охотника.
PASSIVE_HUNTERSOUL2_DESC,При повышении уровня предлагаются способности охотника.
PASSIVE_MAGESOUL_NAME,Душа мага
PASSIVE_MAGESOUL_DESC,При повышении уровня предлагаются способности мага.
PASSIVE_MAGESOUL2_DESC,При повышении уровня предлагаются способности мага.
PASSIVE_CLERICSOUL_NAME,Душа жреца
PASSIVE_CLERICSOUL_DESC,При повышении уровня предлагаются способности жреца.
PASSIVE_CLERICSOUL2_DESC,При повышении уровня предлагаются способности жреца.
PASSIVE_TANKSOUL_NAME,Душа танка
PASSIVE_TANKSOUL_DESC,При повышении уровня предлагаются способности танка.
PASSIVE_TANKSOUL2_DESC,При повышении уровня предлагаются способности танка.
PASSIVE_THIEFSOUL_NAME,Душа вора
PASSIVE_THIEFSOUL_DESC,При повышении уровня предлагаются способности вора.
PASSIVE_THIEFSOUL2_DESC,При повышении уровня предлагаются способности вора.
PASSIVE_MONKSOUL_NAME,Душа монаха
PASSIVE_MONKSOUL_DESC,При повышении уровня предлагаются способности монаха.
PASSIVE_MONKSOUL2_DESC,При повышении уровня предлагаются способности монаха.
PASSIVE_BUTCHERSOUL_NAME,Душа мясника
PASSIVE_BUTCHERSOUL_DESC,При повышении уровня предлагаются способности мясника.
PASSIVE_BUTCHERSOUL2_DESC,При повышении уровня предлагаются способности мясника.
PASSIVE_DRUIDSOUL_NAME,Душа друида
PASSIVE_DRUIDSOUL_DESC,При повышении уровня предлагаются способности друида.
PASSIVE_DRUIDSOUL2_DESC,При повышении уровня предлагаются способности друида.
PASSIVE_TINKERERSOUL_NAME,Душа изобретателя
PASSIVE_TINKERERSOUL_DESC,При повышении уровня предлагаются способности изобретателя.
PASSIVE_TINKERERSOUL2_DESC,При повышении уровня предлагаются способности изобретателя.
PASSIVE_NECROMANCERSOUL_NAME,Душа некроманта
PASSIVE_NECROMANCERSOUL_DESC,При повышении уровня предлагаются способности некроманта.
PASSIVE_NECROMANCERSOUL2_DESC,При повышении уровня предлагаются способности некроманта.
PASSIVE_PSYCHICSOUL_NAME,Душа экстрасенса
PASSIVE_PSYCHICSOUL_DESC,При повышении уровня предлагаются способности экстрасенса.
PASSIVE_PSYCHICSOUL2_DESC,При повышении уровня предлагаются способности экстрасенса.
PASSIVE_VOIDSOUL_NAME,Душа пустоты
PASSIVE_VOIDSOUL_DESC,При повышении уровня предлагаются только улучшенные бесклассовые способности.
PASSIVE_VOIDSOUL2_DESC,При повышении уровня предлагаются только улучшенные бесклассовые способности. Бесклассовые заклинания стоят на 1 ману меньше.
PASSIVE_CHARMING_NAME,Обаяние
PASSIVE_CHARMING_DESC,25% шанс наложить Очарование на юнитов при получении от них урона.
PASSIVE_CHARMING2_DESC,40% шанс наложить Очарование на юнитов при получении от них урона.
PASSIVE_FIRSTIMPRESSION_NAME,Первое впечатление
PASSIVE_FIRSTIMPRESSION_DESC,Начинайте каждый бой с +1 бонусной атакой.
PASSIVE_FIRSTIMPRESSION2_DESC,Начинайте каждый бой с +2 бонусными атаками и +2 бонусными перемещениями.
PASSIVE_SCAVENGER_NAME,Собиратель
PASSIVE_SCAVENGER_DESC,"Если слот аксессуара пуст, в начале каждого боя экипируется маленький расходный предмет еды."
PASSIVE_SCAVENGER2_DESC,"Если слот аксессуара пуст, в начале каждого боя экипируется большой расходный предмет еды."
PASSIVE_ZENKAIBOOST_NAME,Зенкай-рывок
PASSIVE_ZENKAIBOOST_DESC,"Если бой заканчивается с 1 ОЗ, получите постоянный +1 к случайной характеристике и начните следующий бой с полным здоровьем и повышением всех характеристик на 3."
PASSIVE_ZENKAIBOOST2_DESC,"Если бой заканчивается с 1 ОЗ, получите постоянный +1 к 3 случайным характеристикам и начните следующий бой с полным здоровьем и повышением всех характеристик на 3."
PASSIVE_PROTECTION_NAME,Защита
PASSIVE_PROTECTION_DESC,
PASSIVE_PROTECTION2_DESC,
PASSIVE_ROCKIN_NAME,Каменюка
PASSIVE_ROCKIN_DESC,Призывает 4 маленьких камня в начале каждого боя.
PASSIVE_ROCKIN2_DESC,Призывает 4 маленьких камня и 4 валуна в начале каждого боя.
PASSIVE_MANIA_NAME,Мания
PASSIVE_MANIA_DESC,10% шанс восстановить всю ману в начале вашего хода.
PASSIVE_MANIA2_DESC,25% шанс восстановить всю ману в начале вашего хода.
PASSIVE_LUCKY_NAME,Везунчик
PASSIVE_LUCKY_DESC,
PASSIVE_LUCKY2_DESC,
PASSIVE_180_NAME,180
PASSIVE_180_DESC,При использовании базовой атаки развернитесь и атакуйте снова.
PASSIVE_1802_DESC,"При использовании базовой атаки развернитесь и атакуйте снова.
Ваша базовая атака накладывает Замешательство 1."
PASSIVE_JESTERSSOUL_NAME,Душа шута
PASSIVE_JESTERSSOUL_DESC,"При повышении уровня предлагаются способности любого класса.
Можно перебросить выбор при повышении уровня дважды."
PASSIVE_JESTERSSOUL2_DESC,"При повышении уровня предлагаются способности любого класса.
Можно перебросить выбор при повышении уровня дважды."
PASSIVE_HOTBLOODED_NAME,Горячая кровь
PASSIVE_HOTBLOODED_DESC,Ожог от ваших атак увеличен на 1.
PASSIVE_HOTBLOODED2_DESC,Ожог от ваших атак увеличен на 2.
PASSIVE_TOXICBLOODED_NAME,Ядовитая кровь
PASSIVE_TOXICBLOODED_DESC,Яд от ваших атак увеличен на 1.
PASSIVE_TOXICBLOODED2_DESC,Яд от ваших атак увеличен на 2.
PASSIVE_BLOODBLOODED_NAME,Кровавая кровь
PASSIVE_BLOODBLOODED_DESC,Кровотечение от ваших атак увеличено на 1.
PASSIVE_BLOODBLOODED2_DESC,Кровотечение от ваших атак увеличено на 2.
//monk,
PASSIVE_SAFESWITCHING_NAME,Безопасная смена
PASSIVE_SAFESWITCHING_DESC,При смене стойки получите +2 [img:shield].
PASSIVE_SAFESWITCHING2_DESC,При смене стойки получите +3 [img:shield] и снимите один стак случайного ослабления.
PASSIVE_MIXUP_NAME,Подвох
PASSIVE_MIXUP_DESC,При смене стойки следующая базовая атака в этом ходу будет критической.
PASSIVE_MIXUP2_DESC,"При смене стойки следующая базовая атака в этом ходу будет критической.
Критические удары накладывают Замешательство 1."
PASSIVE_TURNABOUT_NAME,Разворот
PASSIVE_TURNABOUT_DESC,Ваши базовые ближние атаки накладывают Замешательство 1 и разворачивают юнитов от вас.
PASSIVE_TURNABOUT2_DESC,"Ваши базовые ближние атаки накладывают Замешательство 1, разворачивают юнитов от вас и имеют 20% шанс наложить Оглушение 1."
PASSIVE_MONKEYSTYLE_NAME,Стиль обезьяны
PASSIVE_MONKEYSTYLE_DESC,15% шанс заблокировать урон и контратаковать.
PASSIVE_MONKEYSTYLE2_DESC,33% шанс заблокировать урон и контратаковать.
PASSIVE_BRICKSKIN_NAME,Кирпичная шкура
PASSIVE_BRICKSKIN_DESC,Любой получаемый [img:shield] увеличен на 2.
PASSIVE_BRICKSKIN2_DESC,"Любой получаемый [img:shield] увеличен на 2.
"
PASSIVE_JAGGEDEDGE_NAME,Зазубренные края
PASSIVE_JAGGEDEDGE_DESC,При потере [img:shield] получите +1 к Шипам.
PASSIVE_JAGGEDEDGE2_DESC,При потере [img:shield] получите столько же Шипов.
PASSIVE_MINDBREAKER_NAME,Крушитель разума
PASSIVE_MINDBREAKER_DESC,Ваша базовая атака накладывает Магическую слабость 1.
PASSIVE_MINDBREAKER2_DESC,Ваша базовая атака накладывает Магическую слабость 2.
PASSIVE_COBRASTYLE_NAME,Стиль кобры
PASSIVE_COBRASTYLE_DESC,"Когда враг перемещается на соседнюю клетку, нанесите ему слабую ближнюю атаку."
PASSIVE_COBRASTYLE2_DESC,"Когда враг перемещается на соседнюю клетку, нанесите ему слабую ближнюю атаку дважды!"
PASSIVE_TENDERIZE_NAME,Отбивная
PASSIVE_TENDERIZE_DESC,Ваши базовые ближние атаки накладывают Ушиб 1.
PASSIVE_TENDERIZE2_DESC,Ваши базовые ближние атаки накладывают Ушиб 1 и имеют 15% шанс наложить Оглушение 1.
PASSIVE_LONGARMS_NAME,Длинные лапы
PASSIVE_LONGARMS_DESC,+1 к дальности и +1 к досягаемости.
PASSIVE_LONGARMS2_DESC,+1 к дальности и +1 к досягаемости.
PASSIVE_SPREADTHEPAIN_NAME,Боль по кругу
PASSIVE_SPREADTHEPAIN_DESC,+2 к урону при первом попадании по каждому юниту за ход.
PASSIVE_SPREADTHEPAIN2_DESC,+2 к урону со 100% шансом крита при первом попадании по каждому юниту за ход.
PASSIVE_HARDEN_NAME,Закалка
PASSIVE_HARDEN_DESC,При получении [img:shield] также получите временную Стойку 1.
PASSIVE_HARDEN2_DESC,"При получении [img:shield] также получите временную Стойку 1.
+1 [img:shield] при попадании базовой атакой по юниту."
PASSIVE_IRONSKINTECHNIQUE_NAME,Техника железной кожи
PASSIVE_IRONSKINTECHNIQUE_DESC,+2 [img:shield] при нанесении крит. удара. +10% к шансу крита.
PASSIVE_IRONSKINTECHNIQUE2_DESC,+3 [img:shield] при нанесении крит. удара. +25% к шансу крита.
PASSIVE_JETFISTS_NAME,Реактивные кулаки
PASSIVE_JETFISTS_DESC,Ваши ближние атаки и способности создают порыв ветра по поражённым клеткам.
PASSIVE_JETFISTS2_DESC,Ваши ближние атаки и способности создают порыв ветра широким конусом по поражённым клеткам.
PASSIVE_ENERGYFISTS_NAME,Энергетические кулаки
PASSIVE_ENERGYFISTS_DESC,Выпускает Искру при использовании базовой атаки.
PASSIVE_ENERGYFISTS2_DESC,Выпускает две Искры при использовании базовой атаки.
PASSIVE_UNSTOPPABLE_NAME,Неудержимый!
PASSIVE_UNSTOPPABLE_DESC,"Иммунитет к отбрасыванию, Оглушению, Замедлению и другим ослаблениям подвижности."
PASSIVE_UNSTOPPABLE2_DESC,Иммунитет к отбрасыванию и ослаблениям.
PASSIVE_UNBURDENEDMOTION_NAME,Свободное движение
PASSIVE_UNBURDENEDMOTION_DESC,"+1 [img:spd] и +10% к уклонению за каждый пустой слот брони. Если все слоты брони пусты, вы можете использовать действие перемещения дополнительный раз."
PASSIVE_UNBURDENEDMOTION2_DESC,"+2 [img:spd] и +15% к уклонению за каждый пустой слот брони. Если все слоты брони пусты, вы получаете полёт и можете использовать действие перемещения дополнительный раз."
PASSIVE_UNBURDENEDSTRIKES_NAME,Свободные удары
PASSIVE_UNBURDENEDSTRIKES_DESC,"+10% к шансу крита и +25% к крит. урону за каждый пустой слот брони. Если все слоты брони пусты, контратакуйте при получении удара."
PASSIVE_UNBURDENEDSTRIKES2_DESC,"+10% к шансу крита и +25% к крит. урону за каждый пустой слот брони. Если все слоты брони пусты, крит. удары накладывают Ушиб и вы контратакуете при получении удара."
PASSIVE_UNBURDENEDTHOUGHTS_NAME,Свободные мысли
PASSIVE_UNBURDENEDTHOUGHTS_DESC,"+1 [img:int] и +1 [img:cha] за каждый пустой слот брони. Если все слоты брони пусты, ваши заклинания стоят на 1 ману меньше."
PASSIVE_UNBURDENEDTHOUGHTS2_DESC,"+1 [img:int], +1 [img:cha] и +1 к кинетическим шипам за каждый пустой слот брони. Если все слоты брони пусты, +2 к магическому урону и ваши заклинания стоят на 1 ману меньше."
PASSIVE_RUNNINGJAB_NAME,Удар с разбега
PASSIVE_RUNNINGJAB_DESC,"При завершении перемещения автоматически используйте базовую атаку, если враг в зоне досягаемости."
PASSIVE_RUNNINGJAB2_DESC,"При завершении перемещения автоматически используйте базовую атаку, если враг в зоне досягаемости. Вы можете двигаться дополнительный раз каждый ход."
PASSIVE_PERFECTTECHNIQUE_NAME,Идеальная техника
PASSIVE_PERFECTTECHNIQUE_DESC,В дальней стойке: +1 к дальности и +2 к магическому урону. В ближней стойке: +1 к Стойке.
PASSIVE_PERFECTTECHNIQUE2_DESC,"В дальней стойке: +1 к дальности, +2 кинетических шипа и +2 к магическому урону. В ближней стойке: +2 к Стойке и +2 к регенерации здоровья."
PASSIVE_RAPIDFLOW_NAME,Стремительный поток
PASSIVE_RAPIDFLOW_DESC,При смене стойки выполните вращательную атаку по всем соседним юнитам.
PASSIVE_RAPIDFLOW2_DESC,При смене стойки выполните двойную вращательную атаку по всем соседним юнитам.
PASSIVE_COUNTERBARRAGE_NAME,Контрзалп
PASSIVE_COUNTERBARRAGE_DESC,При получении урона от вражеской атаки получите +1 бонусную атаку.
PASSIVE_COUNTERBARRAGE2_DESC,При получении урона от вражеской атаки получите +1 бонусную атаку и +1 бонусное перемещение.
PASSIVE_FLOWSTATE_NAME,Состояние потока
PASSIVE_FLOWSTATE_DESC,При нанесении урона другому юниту получите +1 [img:str] и +2 [img:dex] до конца хода.
PASSIVE_FLOWSTATE2_DESC,"При нанесении урона другому юниту получите +2 [img:str], +2 [img:dex] и +2 [img:lck] до конца хода."
PASSIVE_DANCINGLIGHTS_NAME,Танцующие огоньки
PASSIVE_DANCINGLIGHTS_DESC,"При смене стойки выпустите Искру за каждый пустой слот брони. Если все слоты пусты, +1 к случайной характеристике."
PASSIVE_DANCINGLIGHTS2_DESC,"При смене стойки выпустите Искру за каждый пустой слот брони. Если все слоты пусты, +1 к случайной характеристике.
Пока все слоты брони пусты, +1 к магическому урону."
//butcher,
PASSIVE_PUTREFY_NAME,Гниение
PASSIVE_PUTREFY_DESCRIPTION,Ваша базовая атака накладывает Гниль 1.
PASSIVE_PUTREFY2_DESCRIPTION,Ваша базовая атака накладывает перманентную Гниль.
PASSIVE_NEVERFULL_NAME,Ненасытность
PASSIVE_NEVERFULL_DESC,"Вы можете лечиться сверх максимума ОЗ.
Избыток ОЗ теряется между боями."
PASSIVE_NEVERFULL2_DESC,"Вы можете лечиться сверх максимума ОЗ.
Избыток ОЗ теряется между боями.
+1 [img:str] за каждые 5 ОЗ сверх максимума."
PASSIVE_MAINCOURSE_NAME,Увеличь меня!
PASSIVE_MAINCOURSE_DESC,Порождаемые вами подбираемые еда и хлам больше по размеру.
PASSIVE_MAINCOURSE2_DESC,Порождаемые вами подбираемые еда и хлам максимального размера.
PASSIVE_FRESHMEAT_NAME,Свежее мясо
PASSIVE_FRESHMEAT_DESC,При поедании еды получите +1 [img:str].
PASSIVE_FRESHMEAT2_DESC,При поедании еды получите +1 [img:str] и +1 к случайной характеристике.
PASSIVE_MASOCHIST_NAME,Мазохист
PASSIVE_MASOCHIST_DESC,"При получении урона случайно получите +1 [img:str], [img:con] или [img:spd]."
PASSIVE_MASOCHIST2_DESC,"При получении урона получите +1 [img:str], [img:con] и [img:spd]."
PASSIVE_GLUTTON_NAME,Обжора
PASSIVE_GLUTTON_DESC,"Когда еда появляется в пределах 2 клеток от вас, переместитесь к ней."
PASSIVE_GLUTTON2_DESC,"Когда еда появляется в пределах 2 клеток от вас, переместитесь к ней с затаптыванием."
PASSIVE_HOOKED_NAME,На крючке
PASSIVE_HOOKED_DESC,Вы можете использовать крюк 2 дополнительных раза за ход.
PASSIVE_HOOKED2_DESC,"Вы можете использовать крюк 2 дополнительных раза за ход.
Ваш крюк наносит +1 к урону и имеет Рассечение."
PASSIVE_HOOKED_MULTICLASS_DESC,Вы можете использовать ваше оружие 2 дополнительных раза за ход.
PASSIVE_HOOKED2_MULTICLASS_DESC,"Вы можете использовать ваше оружие 2 дополнительных раза за ход.
Ваше оружие наносит +1 к урону и имеет Рассечение."
PASSIVE_STOMPY_NAME,Топотун!
PASSIVE_STOMPY_DESC,"У вас есть Затаптывание.
Урон от затаптывания имеет Рассечение."
PASSIVE_STOMPY2_DESC,"У вас есть Затаптывание и +2 бонусных перемещения.
Урон от затаптывания имеет Рассечение."
PASSIVE_BARBED_NAME,Колючий
PASSIVE_BARBED_DESC,Ваш крюк наносит +1 к урону и накладывает Кровотечение.
PASSIVE_BARBED2_DESC,Ваш крюк наносит +5 к урону и накладывает Кровотечение.
PASSIVE_BARBED_MULTICLASS_DESC,Ваше оружие наносит +1 к урону и накладывает Кровотечение.
PASSIVE_BARBED2_MULTICLASS_DESC,Ваше оружие наносит +5 к урону и накладывает Кровотечение.
PASSIVE_GRAPPLINGHOOK_NAME,Крюк-кошка
PASSIVE_GRAPPLINGHOOK_DESC,Ваш крюк притягивает вас к объектам с иммунитетом к отбрасыванию.
PASSIVE_GRAPPLINGHOOK2_DESC,Ваш крюк притягивает вас к объектам с иммунитетом к отбрасыванию. Обновляет действие перемещения при использовании крюка. 
PASSIVE_GRAPPLINGHOOK_MULTICLASS_DESC,Ваше оружие притягивает вас к объектам с иммунитетом к отбрасыванию.
PASSIVE_GRAPPLINGHOOK2_MULTICLASS_DESC,Ваше оружие притягивает вас к объектам с иммунитетом к отбрасыванию. Обновляет действие перемещения при использовании оружия. 
PASSIVE_PAINGAIN_NAME,Раздражение
PASSIVE_PAINGAIN_DESC,При получении урона получите +2 к временному урону.
PASSIVE_PAINGAIN2_DESC,"При получении урона получите +1 к урону и +1 к временному урону.
"
