KEY,en,notes,sp,fr,de,it,pt-br
WEATHER_FLYSWARM_DESC,"At the end of each turn, there's a chance to get bitten for 1 damage and 1 Bleed.",,"Al final de cada turno, hay una probabilidad de sufrir una picadura que inflige 1 de daño y 1 de hemorragia.","À la fin de chaque tour, vous risquez de subir une morsure infligeant 1 point de dégât et Saignement +1.","Am Ende jeder Runde besteht die Wahrscheinlichkeit, gebissen zu werden und 1&nbsp;Schaden und 1&nbsp;Blutung zu erleiden.","Alla fine di ogni turno, c'è una probabilità di essere morsi e subire 1 di danno e 1 Sanguinamento.","No final de cada turno, há uma chance de receber uma mordida e sofrer 1 de dano e 1 de sangramento."
WEATHER_TORFLIES_NAME,Fly Swarm,,Enjambre de moscas,Essaim de mouches,Fliegenschwarm,Sciame di Mosche,Enxame de moscas
WEATHER_TORFLIES_DESC,There's lots of flies!,,¡Eso son muchas moscas!,Des mouches partout !,Überall sind Fliegen!,Ci sono un sacco di mosche!,Muitas moscas!
WEATHER_LOWGRAV_NAME,Low Gravity,,Gravedad baja,Faible gravité,Niedrige Gravitation,Bassa Gravità,Gravidade baixa
WEATHER_LOWGRAV_DESC,"Jumps, throws, and projectile abilities have +2 range. All physical abilities have +1 Knockback. Other abilities that cause Knockback have +1 Knockback as well.",,"Los saltos, los lanzamientos y las habilidades de proyectiles tienen +2 de alcance. Todas las habilidades físicas tienen +1 de retroceso. Las otras habilidades que provocan retroceso también tienen +1 de retroceso.","Portée&nbsp;+2 pour toutes les compétences de saut, de jet et de projectile. Recul&nbsp;+1 pour toutes les compétences physiques. Recul&nbsp;+1 également pour toutes les autres compétences qui infligent Recul.","Sprünge, Würfe und Geschosse haben +2&nbsp;Reichweite. Alle physischen Fähigkeiten haben +1&nbsp;Rückstoß. Andere Fähigkeiten, die bereits Rückstoß haben, haben ebenfalls +1&nbsp;Rückstoß.","Le abilità salto, lancio e proiettile hanno +2 al raggio d'azione. Tutte le abilità fisiche hanno 1+ Contraccolpo. Anche le altre abilità che causano Contraccolpo hanno +1 Contraccolpo.","Saltos, lançamentos e habilidades de projéteis possuem +2 de alcance. Todas as habilidades físicas possuem +1 de empurrão. Outras habilidades que aplicam empurrão também possuem +1 de empurrão."
WEATHER_FIRESTORM_NAME,Firestorm,,Tormenta de fuego,Tempête de feu,Feuersturm,Tempesta di Fuoco,Tempestade de fogo
WEATHER_FIRESTORM_DESC,Persistent Fire Element. Fires no longer burn out. Parts of the map are on fire.,,Elemento de fuego persistente. Los fuegos ya no se extinguen. El mapa tiene partes en llamas.,Feu persistant. Le feu ne s'éteint plus. Des parties de la carte sont en feu.,Durchgängiger Feuereffekt. Feuer erlöschen nicht mehr. Mehrere Felder brennen.,Elemento fuoco persistente. Gli incendi non si estinguono. Parti della mappa sono in fiamme.,Um elemento persistente de fogo. O fogo não se apaga mais. Partes do mapa estão pegando fogo.
WEATHER_KAIJUFIRE_NAME,Firestorm,,Tormenta de fuego,Tempête de feu,Feuersturm,Tempesta di Fuoco,Tempestade de fogo
WEATHER_KAIJUFIRE_DESC,Persistent Fire Element. Fireballs occasionally rain down from the sky. Fires no longer burn out.,,Elemento de fuego persistente. De vez en cuando llueven bolas de fuego. Los fuegos ya no se extinguen.,Feu persistant. Des boules de feu tombent périodiquement du ciel. Le feu ne s'éteint plus.,Durchgängiger Feuereffekt. In gewissen Abständen regnet Feuer vom Himmel. Feuer erlöschen nicht mehr.,Elemento fuoco persistente. Di tanto in tanto dal cielo piovono palle di fuoco. Le fiamme non si estinguono più.,Um elemento persistente de fogo. Bolas de fogo caem do céu ocasionalmente. O fogo não se apaga mais.
WEATHER_METEORNADO_NAME,Meteornado,,Meteornado,Météornade,Meteornado,Meteornado,Meteoronado
WEATHER_METEORNADO_DESC,"At the end of each round, damages everything by 1 with a 33% chance to Bruise.",,"Al final de cada ronda, inflige 1 de daño a todo y tiene un 33 % de probabilidad de infligir moratón.","À la fin de chaque manche, inflige 1 point de dégât partout avec 33 % de chance de Contusion.","Am Ende jeder Runde erleiden alle Einheiten 1&nbsp;Schaden und es besteht eine Wahrscheinlichkeit von 33&nbsp;%, Beulen zu erleiden.","Alla fine di ogni round, infligge 1 di danno a tutto con un 33% di probabilità di Livido.","No final de cada rodada, causa 1 de dano a tudo com 33% de chance de causar contusão."
WEATHER_KAIJUMETEORNADO_NAME,Meteornado,,Meteornado,Météornade,Meteornado,Meteornado,Meteoronado
WEATHER_KAIJUMETEORNADO_DESC,"At the end of each round, damages everything by 1 with a 33% chance to Bruise.",,"Al final de cada ronda, inflige 1 de daño a todo y tiene un 33 % de probabilidad de infligir moratón.","À la fin de chaque manche, inflige 1 point de dégât partout avec 33 % de chance de Contusion.","Am Ende jeder Runde erleiden alle Einheiten 1&nbsp;Schaden und es besteht eine Wahrscheinlichkeit von 33&nbsp;%, Beulen zu erleiden.","Alla fine di ogni round, infligge 1 di danno a tutto con un 33% di probabilità di Livido.","No final de cada rodada, causa 1 de dano a tudo com 33% de chance de causar contusão."
WEATHER_KAIJUMETEORSOLO_NAME,Meteornado,,Meteornado,Météornade,Meteornado,Meteornado,Meteoronado
WEATHER_KAIJUMETEORSOLO_DESC,"At the end of each round, damages everything by 1 with a 33% chance to Bruise.",,"Al final de cada ronda, inflige 1 de daño a todo y tiene un 33 % de probabilidad de infligir moratón.","À la fin de chaque manche, inflige 1 point de dégât partout avec 33 % de chance de Contusion.","Am Ende jeder Runde erleiden alle Einheiten 1&nbsp;Schaden und es besteht eine Wahrscheinlichkeit von 33&nbsp;%, Beulen zu erleiden.","Alla fine di ogni round, infligge 1 di danno a tutto con un 33% di probabilità di Livido.","No final de cada rodada, causa 1 de dano a tudo com 33% de chance de causar contusão."
WEATHER_ROBOTS_NAME,Robot Uprising,,Rebelión robótica,Soulèvement des machines,Roboteraufstand,Rivolta dei Robot,Levante de robôs
WEATHER_ROBOTS_DESC,2-4 robots spawn in each battle. All robots have gone rogue!,,Se generan 2-4 robots en cada combate. ¡Todos los robots están fuera de control!,2 à 4&nbsp;robots apparaissent à chaque combat. Tous les robots se rebellent !,In jedem Kampf erscheinen 2&nbsp;– 4 Roboter. Alle Roboter sind durchgedreht!,In ogni battaglia compaiono 2-4 robot. Tutti i robot sono fuori controllo!,2-4 robôs surgem em cada batalha. Todos os robôs se rebelaram!
WEATHER_HAUNTED_NAME,Haunted Night,,Noche encantada,Nuit hantée,Verfluchte Nacht,Notte Spettrale,Noite mal-assombrada
WEATHER_HAUNTED_DESC,2-4 ghosts spawn in each battle. All ghosts have gone rogue!,,Se generan 2-4 fantasmas en cada combate. ¡Todos los fantasmas están fuera de control!,2 à 4&nbsp;fantômes apparaissent à chaque combat. Tous les fantômes se rebellent !,In jedem Kampf erscheinen 2&nbsp;– 4 Geister. Alle Geister sind durchgedreht!,In ogni battaglia compaiono 2-4 fantasmi. Tutti i robot sono fuori controllo!,2-4 fantasmas surgem em cada batalha. Todos os fantasmas se rebelaram!
WEATHER_MIGRATION_NAME,Bird Migration,,Migración de aves,Migration aviaire,Vogelzug,Migrazione degli Uccelli,Migração de pássaros
WEATHER_MIGRATION_DESC,1-2 extra birds spawn in each battle.,,Se generan 1-2 pájaros extras en cada combate.,1 à 2&nbsp;oiseaux supplémentaires apparaissent à chaque combat.,In jedem Kampf erscheinen 1&nbsp;– 2 zusätzliche Vögel.,In ogni battaglia compaiono 1-2 uccelli in più.,1-2 pássaros adicionais surgem em cada batalha.
WEATHER_COCKROACHES_NAME,Cockroach Infestation,,Plaga de cucarachas,Invasion de cafards,Kakerlakennest,Infestazione di Scarafaggi,Infestação de baratas
WEATHER_COCKROACHES_DESC,All units have a 25% chance to start each battle with Fear or Poison.,,Todas las unidades tienen un 25 % de probabilidad de empezar cada combate con miedo o veneno.,Toutes les unités ont 25 % de chances de commencer chaque combat avec Peur ou Poison.,"Für alle Einheiten besteht eine Wahrscheinlichkeit von 25&nbsp;%, jeden Kampf mit Angst oder Gift zu beginnen.",Tutte le unità hanno un 25% di probabilità di iniziare ogni battaglia con Paura o Veleno.,Todas as unidades possuem 25% de chance de iniciar cada batalha com medo ou veneno.
WEATHER_JUDGEMENT_NAME,Judgement Day,,Día del juicio final,Jugement dernier,Tag des jüngsten Gerichts,Giorno del Giudizio,Dia do julgamento
WEATHER_JUDGEMENT_DESC,Some tiles will get Raptured at the end of each round during the battle. More tiles are affected every round.,,"Durante el combate, al final de cada ronda se producirá un rapto divino en algunas de las casillas. En cada ronda aumenta la cantidad de casillas afectadas.",Certaines cases seront Purifiées à la fin de chaque manche pendant le combat. De plus en plus de cases seront affectées à chaque manche.,Manche Felder werden am Ende jeder Runde ausgelöscht. Mit jeder Runde sind mehr Felder betroffen.,"Durante la battaglia, alcune caselle saranno distrutte da un raggio divino alla fine di ogni round. Più caselle ne saranno colpite a ogni round.",Alguns espaços são arrebatados no final de cada rodada durante a batalha. Mais espaços são afetados a cada rodada.
WEATHER_PANDEMONIUM_NAME,Pandemonium,,Pandemonio,Pandémonium,Chaos,Pandemonio,Pandemônio
WEATHER_PANDEMONIUM_DESC,All units have a 25% chance to have Madness each round.,,Todas las unidades tienen un 25 % de probabilidad de sufrir locura en cada ronda.,Toutes les unités ont 25 % de chances de subir Folie à chaque manche.,"Für alle Einheiten besteht jede Runde eine Wahrscheinlichkeit von 25&nbsp;%, Wahnsinn zu erleiden.",Tutte le unità hanno un 25% di probabilità di subire Follia a ogni round.,Todas as unidades possuem uma chance de 25% de sofrer insanidade a cada rodada.
WEATHER_HOLLOWING_NAME,The Hollowing,,El ahuecamiento,Saison des carcasses,Wiedergang,Il Vuoto,Alma vazia
WEATHER_HOLLOWING_DESC,"At the end of the round, each corpse has a 25% chance to revive at half health with Madness 5.",,"Al final de la ronda, cada cadáver tiene un 25 % de probabilidad de resucitar con la mitad de salud y 5 de locura.","À la fin de chaque manche, chaque cadavre a 25 % de chances de se relever avec la moitié de sa vie et Folie +5.","Am Ende einer Runde besteht für jede Leiche eine Wahrscheinlichkeit von 25&nbsp;%, mit der Hälfte ihrer LP und Wahnsinn&nbsp;5 wiederbelebt zu werden.","Alla fine del round, ogni cadavere ha un 25% di probabilità di tornare in vita con metà salute e Follia 5.","No final da rodada, cada cadáver possui uma chance de 25% de ser revivido com metade da saúde e insanidade 5."
WEATHER_OILSPILL_NAME,Oil Spill,,Derrame de petróleo,Marée noire,Ölteppich,Fuoriuscita di Petrolio,Derramamento de óleo
WEATHER_OILSPILL_DESC,A puddle of tar appears in each battle.,,En cada combate aparece un charco de brea.,Une flaque de goudron apparaît à chaque combat.,In jedem Kampf taucht eine Teerpfütze auf.,In ogni battaglia compare una pozza di catrame.,Uma poça de piche surge em cada batalha.
WEATHER_BLIZZARD_NAME,Blizzard!,,Ventisca,Blizzard,Schneesturm!,Bufera di Neve!,Tempestade de neve!
WEATHER_BLIZZARD_DESC,"Persistent Ice Element. At the end of each round, wind blows everything 1 space in a random direction. After each turn, there's a chance for a random lightning strike.",,"Elemento de hielo persistente. Al final de cada ronda, el viento lo mueve todo 1 espacio hacia una dirección al azar. Después de cada turno, hay una probabilidad de que caiga un rayo al azar.","Glace persistante. À la fin de chaque manche, le vent repousse tout d'une case dans une direction aléatoire. Après chaque tour, un éclair risque de frapper.",Durchgängiger Eiseffekt. Am Ende jeder Runde weht der Wind alles um 1&nbsp;Feld in eine zufällige Richtung. Nach jedem Zug besteht eine gewisse Wahrscheinlichkeit für einen zufälligen Blitzeinschlag.,"Elemento ghiaccio persistente. Alla fine di ogni round, il vento sposta tutto di 1 spazio in una direzione casuale. Dopo ogni turno, c'è una probabilità che si verifichi un fulmine casuale.","Um elemento persistente de gelo. No final de cada rodada, o vento empurra tudo por 1 espaço em uma direção aleatória. Após cada turno, há uma chance de um raio aleatório."
WEATHER_HURRICANE_NAME,Hurricane!,,Huracán,Ouragan,Orkan!,Uragano!,Furacão!
WEATHER_HURRICANE_DESC,"At the end of each round, wind blows everything 10 spaces in a random direction.",,"Al final de cada ronda, el viento lo mueve todo 10 espacios hacia una dirección al azar.","À la fin de chaque manche, le vent repousse tout de 10 cases dans une direction aléatoire.",Am Ende jeder Runde weht der Wind alles um 10&nbsp;Felder in eine zufällige Richtung.,"Alla fine di ogni round, il vento sposta tutto di 10 spazi in una direzione casuale.","No final de cada rodada, o vento empurra tudo por 10 espaços em uma direção aleatória."
WEATHER_STRANGESPIKES_NAME,Strange Spikes!,,Pinchos extraños,Étranges épines,Merkwürdige Spitzen!,Strani Spuntoni!,Espinhos estranhos!
WEATHER_STRANGESPIKES_DESC,"At the end of the round, all units gain +1 Thorns.",,"Al final de la ronda, todas las unidades obtienen +1 de espinas.","À la fin de la manche, confère Épines&nbsp;+1 à toutes les unités.",Am Ende jeder Runde erhalten alle Einheiten +1&nbsp;Dornen.,"Alla fine di ogni round, tutte le unità ottengono +1 Spine.","No final de cada rodada, todas as unidades obtém +1 de espinhos."
WEATHER_BLESSED_NAME,Blessed Day!,,Día bendito,Bénédiction,Gesegneter Tag!,Giornata Sacra!,Dia abençoado!
WEATHER_BLESSED_DESC,All units have +3 Health Regen. Persistent Holy Element.,,Todas las unidades tienen +3 de regeneración de salud. Elemento sagrado persistente.,Régénération de santé&nbsp;+3 pour toutes les unités. Sacré persistant.,Alle Einheiten haben +3&nbsp;Lebensregeneration. Durchgängiger heiliger Effekt.,Tutte le unità hanno +3 a Rigenerazione Salute. Elemento sacro persistente.,Todas as unidades obtêm +3 de regeneração de saúde. Um elemento sagrado persistente.
WEATHER_STEALTH_NAME,Stealth Mission,,Misión de sigilo,Mission d'infiltration,Geheimmission,Missione Furtiva,Missão furtiva
WEATHER_STEALTH_DESC,All units gain Stealth at the start of the battle.,,Todas las unidades obtienen sigilo al inicio del combate.,Toutes les unités obtiennent Furtivité au début du combat.,Alle Einheiten erhalten am Anfang des Kampfes Schleichen.,Tutte le unità ottengono Furtività all'inizio della battaglia.,Todas as unidades obtêm furtividade no início da batalha.
WEATHER_INFESTATION_NAME,Infestation,,Plaga,Infestation,Plage,Infestazione,Infestação
WEATHER_INFESTATION_DESC,All non-tiny units explode into maggots or flies when they die.,,Todas las unidades que no sean diminutas explotan y dejan gusanos o moscas al morir.,"Toutes les unités, à l'exception des plus petites, explosent en asticots ou en mouches à leur mort.","Alle Einheiten, die nicht winzig sind, explodieren in einem Haufen Maden oder Fliegen, wenn sie sterben.",Tutte le unità non minuscole esplodono diventando larve o mosche quando muoiono.,Todas as unidades não minúsculas explodem em vermes e moscas ao morrer.
WEATHER_ERUPTION_NAME,Eruption,,Erupción,Éruption volcanique,Eruption,Eruzione,Erupção
WEATHER_ERUPTION_DESC,A mini volcano spawns in each battle.,,Se genera un minivolcán en cada combate.,Un mini volcan apparaît à chaque combat.,In jedem Kampf erscheint ein kleiner Vulkan.,In ogni battaglia viene generato un mini vulcano.,Um mini vulcão surge em cada batalha.
WEATHER_DRUGS_NAME,Drug Awareness Day,,Día de Concienciación de las Drogas,Sensibilisation aux drogues,Weltdrogentag,Giornata di Sensibilizzazione sulle Droghe,Dia de combate às drogas
WEATHER_DRUGS_DESC,There is extra catnip in every battle. Find a random pill after every battle.,,Hay hierba gatera extra en cada combate. Encuentras una pastilla al azar tras cada combate.,De l'herbe à chat supplémentaire apparaît à chaque combat. Vous trouvez une pilule aléatoire après chaque combat.,In jedem Kampf erscheint eine zufällige Katzenminze. Nach jedem Kampf findest du eine zufällige Pille.,C'è più erba gatta in ogni battaglia. Trovi una pillola casuale dopo ogni battaglia.,Há ervas-de-gato adicionais em cada batalha. Encontre uma pílula aleatória após cada batalha.
WEATHER_TRAININGDAY_NAME,Training Day,,Día de entreno,Jour d'entraînement,Fitnesstag,Allenamento,Dia de treinamento
